City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,4.81,75,40,13.38,AR,1686611199
1,mezhdurechenskiy,59.6,65.9333,4.52,67,10,2.64,RU,1686611199
2,awjilah,29.1081,21.2869,25.47,49,0,8.46,LY,1686611001
3,invercargill,-46.4,168.35,10.27,90,98,2.19,NZ,1686611199
4,puerto natales,-51.7236,-72.4875,1.69,94,97,2.3,CL,1686611199
5,tiksi,71.6872,128.8694,1.9,92,78,0.68,RU,1686611200
6,klyuchi,52.2667,79.1667,15.32,82,77,4.32,RU,1686611200
7,port-aux-francais,-49.35,70.2167,6.31,91,100,14.08,TF,1686611200
8,adamstown,-25.066,-130.1015,20.04,65,17,3.4,PN,1686611200
9,grytviken,-54.2811,-36.5092,-1.81,94,78,2.52,GS,1686611200
10,jamestown,42.097,-79.2353,13.77,80,100,5.66,US,1686611002
11,kumylzhenskaya,49.8809,42.5898,13.88,87,100,8.13,RU,1686611200
12,mount pearl,47.5166,-52.7813,7.3,91,100,5.66,CA,1686611200
13,yatou,37.15,122.3833,18.38,75,89,1.39,CN,1686611200
14,margaret river,-33.95,115.0667,15.48,69,95,6.76,AU,1686611201
15,albany,42.6001,-73.9662,25.35,56,100,0.89,US,1686610375
16,saint-philippe,-21.3585,55.7679,21.77,76,0,3.42,RE,1686611201
17,sumbe,-11.2061,13.8437,20.83,88,62,1.46,AO,1686611201
18,qaqortoq,60.7167,-46.0333,6.09,79,100,2.93,GL,1686611201
19,blackmans bay,-43.0167,147.3167,7.07,84,64,2.69,AU,1686611201
20,nova xavantina,-14.6667,-52.35,25.27,61,81,0.69,BR,1686611201
21,bilibino,68.0546,166.4372,12.72,91,100,2.56,RU,1686611202
22,waitangi,-43.9535,-176.5597,12.12,90,87,1.79,NZ,1686611202
23,iqaluit,63.7506,-68.5145,3.85,60,75,6.17,CA,1686611150
24,nar'yan-mar,67.6713,53.087,6.63,90,68,5.01,RU,1686611202
25,labrador city,52.9463,-66.9114,20.86,33,96,0.87,CA,1686611202
26,praia da vitoria,38.7333,-27.0667,19.46,94,99,2.29,PT,1686611202
27,xai-xai,-25.0519,33.6442,21.07,53,66,3.0,MZ,1686611202
28,ribeira grande,38.5167,-28.7,19.32,100,75,4.12,PT,1686611203
29,cabo san lucas,22.8909,-109.9124,33.61,33,0,3.6,MX,1686610959
30,teguise,29.0605,-13.564,21.12,73,20,3.6,ES,1686611203
31,hamilton,39.1834,-84.5333,20.96,58,40,6.17,US,1686610586
32,edinburgh of the seven seas,-37.0676,-12.3116,15.29,93,100,7.21,SH,1686611203
33,xinyang,32.1228,114.0656,22.41,79,100,1.55,CN,1686611203
34,maputo,-25.9653,32.5892,19.57,81,100,3.1,MZ,1686611203
35,sao joao da barra,-21.6403,-41.0511,23.05,85,39,2.07,BR,1686611203
36,ilulissat,69.2167,-51.1,3.01,65,75,4.63,GL,1686611203
37,la manga del mar menor,37.6413,-0.7165,23.0,89,92,2.57,ES,1686611204
38,lihue,21.9789,-159.3672,28.58,72,20,6.17,US,1686611204
39,stanley,54.868,-1.6985,13.62,88,56,1.54,GB,1686611204
40,hithadhoo,-0.6,73.0833,28.0,75,90,2.22,MV,1686611204
41,katsuura,35.1333,140.3,21.01,95,88,6.74,JP,1686611204
42,keflavik,64.0049,-22.5624,9.24,76,75,3.09,IS,1686611204
43,fort bragg,35.139,-79.006,28.85,71,75,7.72,US,1686611205
44,isafjordur,66.0755,-23.124,9.18,76,4,3.6,IS,1686611205
45,hermanus,-34.4187,19.2345,15.45,82,100,11.53,ZA,1686611107
46,monrovia,6.3005,-10.7969,25.87,83,96,5.85,LR,1686610905
47,rongelap,11.1635,166.8941,27.84,81,43,7.98,MH,1686611205
